signature_hash,block_time_utc,r_component_hex,message_hash_hex
4vkvxpsZrr6dn2yG8oTyLbKWHngab6xUrEziF8puggrZx3sw6t2U6Aazk4azz6buZFbvjw3FyE9s5vNZrUYa6JU9,1970-01-01 07:00:00,c468cb6c890ea7505f1cec0226430ade510fa63b14618b2c1fd3027b03c5bc72,8aa0cc87a690bf7dd23fba287961e88d990b299df456cbde9751db6d8dc0e6bc
5NTdpNBRwzjXxTJumSpYABuKD9DUnDhn5SmY77wpi6yRCJubjLf9u9Rn6zLmmoU1Yav3Eibsi2AxBXoZ5Mt2Kfc5,1970-01-01 07:00:00,da92d822385540963074dff315d1a1a31130bd5e37f89a6f885e7e01b3f4c638,4a49bea16d41f22fe6f563cb715d5d1a3147084f4b00c42c491b2dfa75c921af
4mkPFmBU7T6A1bB9E9bm8KoxBtLrFALPXyUDeUNRu72jAQX4PR5549B7XwqM6cbJbK23R25p9rv8GZLnFBCyimaK,1970-01-01 07:00:00,bca3d4e55805ac54d00f0a0fa071cb183f3a2987b8976866122414d85a3596fb,5c2557349d74cd42c7b9e99e8372865d68dc314a116a2fa1766dfdf6dd95ef4d
3DgfG5rDLuEfsuBctwfZS2mBedhkXhyoH8WCZfUQrLZFsK6aYidMaE8zLJAFY1w4S69Ms6YeNfvWxniVJ87tLNuZ,1970-01-01 07:00:00,6ef8d5de317ae07f3edac1eca5be5ba9a5afcf38ada21e6217379dc7a5449f2e,c761887f59bb2cb599fc5f17854f7205b2cd7d03e6694959aa4da0ecb0597734
3w77Tg2Lj8CqPGEpke3S4RxdV2JrQqjX3md1QSQREiHWM4haze7oaYmapdmFssxMReAC9D2HDGtmyUQk1JX7Zn2X,1970-01-01 07:00:00,92b141f7d6006b34f3c8e465b7e2a96af8e5505cb7b89cdb66e66da3a58c25ca,0c9fb6f09a99382977516f02f2853749fd0608289ebe4a725848cbc16bc1a5e7
3Uvbx9Mukzakg7Pw6Ky6ngtMLurbZuE6aVUvx5QRn6jPxdknjJvPFNVu9iV7AyQf3ebNF6BGVnhrgGgvE4A9TbDP,1970-01-01 07:00:00,7c1d60630ae1cfde4eae06bbad75998066c7ea5ca0d98b0e6a311277e34589f8,3b2219a396e4c7f41727c1685c56d81ef12360178f18acbc4a4528938d4bc87b
3BMnYsBosNB9RmU1RUSPMywea9UGopF7YsNsZEWVy4W3VqfpFtFSkaMotwSVDRMzqPZXiXwd3mm2PRUzmqE6HYWn,1970-01-01 07:00:00,6cf77707922b053d535331d8d5b72da077eae2a0af6ced1718fdf6cce2535b5c,4b195da5a102863ce3e4108b60572fed1e03287f431b186e677b5b737c9eceba
33SGFcteAmbisQagMKzskoy66YpuktkD1Br7SrNYDtetJ5bGN9RzBQJ1mpYSoAJUzdox4M7qgJQrYi5UDy1iP4WG,1970-01-01 07:00:00,66226401e31fb28d0cd7d8a4fd71eeada3b5cb676eb42f5c44d61b238f18719d,afb5110351e19d41b02517db0462b9965cc89c6689143505db524c13383456f3
2nNbBiUyXf5EFPh6ggrKX6R3poWhNWkqbwiBMYGSn9DrD89qHmUQ8JJw5j9nNQdWD1V5NeP6zx9CFTcMyyzXRvFa,1970-01-01 07:00:00,5924f00f76ecd490221d2a3223587f74750d9694ac66523aa8f90c47cf5fdce0,7a64f7ec0ef97009a0710e021edc35c86b7b2e149f81d6a4184cec6ad1088765
2pXkFZAr8VG4qPYhk1XrbNUDzXmhcweoRcjitX3Z7vyoEJkiECBRVcsZYBq7vb2mcdZu4N6nwnJiMbDSUjrjgyDQ,1970-01-01 07:00:00,5b015194036a6de89242971ad0359b26bc927da331ec726a2db10cbecbd359eb,47a7676d442e81f9f776f17ce98aa10e011e7bae3b358b1c41ee72797425dfcc
RdzU4djj82uBKZMCnY9cDUYnLvr2uHHZa12zhV5nMDEhdDFzfPe6bGW31wg7wgwEiBXFLcXk766mEEWVTARgdFP,1970-01-01 07:00:00,153f266792d8870f00bcbbc99e20f7c716d3b2b54f8343957256e9b0d370461f,7538ef07f46db69326c6f4154354bf46a44cd99442746f4d25e76ecfaeedf8cb
5qDYqcyxqW8EBKMzJxYBAiaY72eALGvsoKbvnwYAdP2e9xwvwXoz2kb74osmtYu4Sd3rtwRjkjq5Tsw6yaPXPvhn,1970-01-01 07:00:00,f1a5e03f44e58a37e1f4e0848baead867a9a17a6db7be302b57a2b276ea5c25a,0f58df0b0112d07bc7245ffa326f0d24f919795e09d50a5e88149710d4635880
5WG7Z4zd5rPidhwvM6koveAhVpso2dL78wSPd9AS3MypwFU1vBthXCmbUUbXWKd4bd6pvyxNNauzpa5qv23aPJKE,1970-01-01 07:00:00,e14d1b43071059d17431dfeaf75ed2595baee55b954755944a9a46e994816a5b,a19464f32e83ce1bb3ddebd7c71408136f2d261812f7ff52b197294d4abe5076
28HGNHVqtZuVZ22Y7jefi5ucTb1EfydDy4y3Ptomn5kmAHVMDbVJ6GoTvqeiuFfZaFucLvyfdieDAtZZuZtznSPG,1970-01-01 07:00:00,384b9d09fab6c390fd9a31f0a17747b71681b4bb2a8a82119295627a01ef0092,972081e7ac13109bf27e3b12ffbca1a0ccc03dede5961a6cc112bc6d5d431ce7
3DvJCfSxdn4ckxbLyLtkUUyvUNcSHAQMpMntjXZuyAgPt4b2GfeMecTnNK249UeDHcnwCjSz9aavNknVB9UeP2dX,1970-01-01 07:00:00,6f2cbdcef8d7506dd9bbfc3de7f828eae8b3d52072e0dd0034e39507c49d6fe2,119723ad2e81db55c454f876e834afd1034c2921c842ed81e356221c503cc547
59PaH7QCwkSiZjTMfvK8G5qQHsfpATkgbPBNP1jtUijkGLYtFS51sbJiqw5rpAkVekhrnRYM8B6h8bPscfmqmTzM,1970-01-01 07:00:00,cf4d722d916a7f91453bcd490dd331f49fb0b53aa5e5f313c2c25b8aecf2ac8e,ed2f91b04763026d6b344d13ae281c12cfbbdb2814be19fdbca61c960a119d6d
26UQN2nuhPp8fp9NnyYRCeMxxTkSYNz6ZtpDNsXZxCaZaJfPTidymYm5FvXXSSrTQGRTbhuXU43t5VoUjyXDzyHb,1970-01-01 07:00:00,36bc7a5afa5dcfabe5a45ef9ecde33c01761996f1d18eca368e84f755525f7e0,dbd3da9c886a4721f41728432e803eb0dc568e3a9a4ead093b341270625a47f2
2SaRnpZrXyNvccQ5VnMQZ2xtekaZE92pNdoe8ZPT21Sar5dTX27RmKXzWmPsQCztCH311x5jXv2WV6CSA9c4ha3a,1970-01-01 07:00:00,4812b3f7df7aa8ebbd6fd23b0a4597a94915cfb09f7afe10eb073f20b20a59f4,a006b3777bd1e6eac76e2846058eb1580a4ce00dac456fcc055f5dda5ea48f85
oPdYCMDB2Y7bMsdfVHgJhgFU4pFt7GM24MrJ4FJ4fAHgf2RXaXRaU7Rm5M98FcPuGqJLVmANrsGzKrLSgRR1d6U,1970-01-01 07:00:00,28014fc15ecafb22796e7eb944a1b29428fdc5e3669b06fe4c42e59c5646eb3c,50f092809c3208913ba8f708f3089e8f17c49fef94305274b272cd2ad2a01424
LRb9dEAvgHLyMK51j6r2fostsMyTTTA1Ky1d3ND6aNzCyLNSipJNBx1TcFXwjH3RQB5r1gLKhMpJJtmjyvf68k6,1970-01-01 07:00:00,10c01ef36874bae316f7e62a1acf1a32e174e60676e8bdc1a2029d0ce108222a,af2136059bebdc2bd860b54f1063d0bf35dc57521a73d6f9d56b6862a94f6123
62HJiX8U4n16eqQFjyQukbTCawM79yv9ukTY1be4sRjzs5q2b2THbVdNNvSnkrgRUqeQXkGawcpJfXgnLLaRgED5,1970-01-01 07:00:00,fb3095f8f5539e613a10c653659dd2ff755aee4204dbfb266d1845b74fbe4a9c,3ee3ad08b0f673822b903c665df34bddaa6f5c573b019745cf1938f4556f5031
4Zg6gkQnbugXyqbaCTFTp61UhrdCRsdz5QCtporpwwVoC6f8Q9nEqGZjstcSUgMQhs5N8M9koKbG28dJBKmMQh3R,1970-01-01 07:00:00,b23a57c994259e4fb0a4505eeaafc3dfcc75c4713f6deb6c8bbf5226cbde9ffa,115332ca8f7f2081fa9381a7c4b878ac09a542ac21cc1c0fd29f009dd675842a
2M8wWi47Z7KZasaypuhGWPdYAoTh4ppt9E59eMTVFFCJXwuVXtXUG2axZHsqSWRM4QWGfiuWKFyF5MQvsTqxTT6x,1970-01-01 07:00:00,4361dddcb213f716fc77f7bd77c88f2513e2661a050a2750b42909ec354672f4,406e9f66650096eb06b1579adfee2ea936899b88b4374a45873e48833b687d8b
5uWLwV9tyNs1bYWy82FjqK14gjoiHWDgz8qf9vDVfw7wYUd9UJKhYrgDMqbQQSzu8p4wVSS9TiwmbPa1Ho7ydS61,1970-01-01 07:00:00,f558dc57b9217a4330b58bbc9e72412563074ca0e01361f251e237c2159396d5,704d3bad45758e7584c451534f1d4ac8a752ded08e8f857abddad14763a0b973
3PmKFB98uzSFfQVJmJVrVm2CoYpCfMgQHyDUnHr3B12hK2PqdyU4f55duMEeiS7H8CuHXgE38CKGaZuWhUqVEt2V,1970-01-01 07:00:00,77aa333c9f9c29b672433a358373b6259414fd141b53943ba100dd663bc9f06c,9bb0e660765de2b6d4221e19591449ebb9ce735de630de272edc669942f2803e
2iaiqfwZxtC8ovi7W7JguQyYByjGKzMkdUZQqmZARAcCNH3qTCGnZN54nr6DfAp4C2sSbkN9cYooahknCPyuX7Q8,1970-01-01 07:00:00,55e00e895d59f80281e417bb8e4d7aa266d35a498f94c45f0d60c3929f8033ea,00a975edfc360ab96a18b389a93a6434f9730e53c0220ca2c98be0122540ebb7
32e636hYvz4ZHw7amKkCmhVoN9vUkgXShkhCZD7swLaQcwUGcx5uQV8jR9iehgUZnXeBnMWTdM1SCUCKLymvhw9N,1970-01-01 07:00:00,6572a189315cac285ccdf93aacb870db99dd6313eef25cdc79cc18a582451757,c854d00589fc0c2608d361a0679064934fdd5a1f9410494ebc74c3f23916656c
3jsL911YJeU8o6abLkCUC6sXAWBZELMVGYoRJPzDJ1vnaddStyWXqncC7MNwZGkUwiLDQKWvyncMkh26cdKw1kJ7,1970-01-01 07:00:00,890063e178353109a34a42570eb325404e0d4f3d22c233ed6da2a0c81ef22da1,c4d5af881641471ed687b4efa806eaf73fcebe5d0cbf9fb27ab57c5497059743
4kiCLnZ32cqiyGxJVwb6895qUXFiUbYbsCEuaKgsWtT6wHiBLsP7ZuR6NMj86NuJfpqvWTVt4MiRhUN5fwRpQDne,1970-01-01 07:00:00,bbbebcf8a05ccedcf6fe8b5e8bfd9e55af8da57183a8d516cf5c5f9c53d62dec,e1c8fd637814551a668fb813f8467f2283a31a3767ce95d0cec065651c929a22
4qhJce58z4Q3shqfxW8w9kquogCtt4RFPxrwhwbA7oX52p5pmUA8J4QenNxvaLawgAjK2LwYyAWX2EP5AAWdUxc4,1970-01-01 07:00:00,c00b2abf94954954a9a934f40923ea06a81d6bed314720f2584f4f5784039d2f,3117e792b85d40c75785034b1b50070f4f0457240e09b75cbef1edf1cf04f98c
NRyMCkSjGHeCuRSnSk77Qnu3MgDfb6v1n9RMgq1fWGLxtw1YAxAprTTjpBNY5a5Yj7RozU1Zuz3gsDrV2dKzLRi,1970-01-01 07:00:00,127b1b6cf203cfc1a72d62da9a3ef8642760df0d01b727bbf072de59eaa9b9fa,394150e77723de8dbe877be54ed1a114978290154426a2edfd3a8229e7232b59
4LnoYXZrAyRqXeMZAhgiKEKdnQXhkAKnAba8vfMLtbKaPj3dWUtwqKK9e5aJTv89VjNskkp5qMZWkDSNqmaxz76T,1970-01-01 07:00:00,a71debcea3def5d0417683ab22178e35da3c45ce2dbdc13925ce8c394d12c5b0,2b94ca7e492ea0109f9aeb76c662cca3448197034e592713b305f18b4890c86e
5jFDPaqywfZXoyBJd3gLVPmcVs7roYxypL7MRFNeWLfnjM5upMKeSmDoYFLKwBuiQEFeExwwkwgUtUVwcSZqcCnE,1970-01-01 07:00:00,ec7f9fc4e4fa902c828897bf2dc8565567b5857bf466f3ac2c2f77c8769deab2,a06d3ad459b06feb2f1b42d9dfd4d10a59716ec475a1ee11c679634ad4ee2349
4hbnCYtq2TTSBqnPyMXGpjpczXaKB7qiaFqriW3yMq7gKYGW24KevfvXraekzvembBkFXmAtwDLhMZEC1KsKeSDh,1970-01-01 07:00:00,b91005a5d376b447f3d4e685bf84f8961a2b4d3c84dc0cb27d0673bc08eed8ec,46db874b2bd8e76e7f5c1707aca82faf3015089117622c473f5763d42b51d4c6
2zf5btgDafN4G2VkvDcwQGmWQeBUu599uBFdyPgz1bHsVGZ545UZRarN1cRkEzX2BBgHUEjiJGsVZouU5AzkGcAd,1970-01-01 07:00:00,63bce12068a6cfd4e5fea74538a0b44caa1bc35326a8e4bbf4d37a7981d03208,d331a41ea24c8d9ef265274ed1b21a2c7c82fb4cc9cd62d703744c56d1f93e50
5CsXGsxtSbi2XFT4xTYGfpNxhKo82YUgopathzZAfLSsx5YqKx8mHxJe3ST89YcgdjQeohAih5j1CRJmx1cQ8FYe,1970-01-01 07:00:00,d24e1e74d058e233c6e324baa4a41c8c6d3cbd266cfd5aea0d395bd42bbc200c,9177e2db6fe30c4e37a48388ef75d51cb3c082043e0f098d2b88a60e4979bad7
