signature_hash,block_time_utc,r_component_hex,message_hash_hex
1251vnTJFZytVf18CrCGvEYTSNeiYcHeHed6qzxcByF4zczJuh9DBk1XFScTNQE4d7xnE17douJGBn7kNpz59nZK,1970-01-01 07:00:00,00ec0cf9e3dc6807a12f24ac795c59eea812d7535255af189c107e2277e3797a,be5e913b2a56672a1d6d35f12482f76db86c277dc4c8ea9645ef8dfcd28e1f61
4ACqC5cXt9cUTD36DPRaKRaYQnq58fCCmmPedu7QHjuF8DGnvD2t717y4c2ncuobdAgKVxcn54hwCMPC7sgeKj62,1970-01-01 07:00:00,9dfcf7f84f5f8c13703b896eee82696be3e428003458c5eb25cfe34d38f8a3ea,5d037da57dec319f87300a1383589cc305c910b2101522c010890660a250592e
2TGVRbaSHPPkg1xf4CneTi4SJeo8tGzJ2JzzidG8gMppNPEmA3CFJQeGy8k93G5jrLRpXYSWxA3AGrEwooWrS12z,1970-01-01 07:00:00,48ab316813ec14724bc1db4a532d7e11b2b83c8078fc8eab55f9902333e71a61,2b7b171ec3e43cce7dc97b2cdd863736b8756cb5bf8e7e3d6f4ac0500de5cbe9
5gfa8ssMaHsVw9S5B6QzUXtdiDvpC1zYrgsqynkXrB1PqMXUVekwgh2d9TVfaB7tVndc9PMv5Aie3MwjpkzsPV8J,1970-01-01 07:00:00,ea460ade267cbce76afc89c8f610cf86b80946298bf58936be2177033a6c65cb,ef857945d1834d6b136b6964916c4ff3708fe93d8ac6a25caca0baae80c245a0
2mDBYyn5k9Xf8nrZLvxw7xEWgmhRyoYupG7k3CBvViWLsfZmj6wbuxxyTyaLexhsuPbYSN22DuoiKnA4Uf8dEMCJ,1970-01-01 07:00:00,58245d91f8b83b397b41e0225f04c6788b3ae50fe612c62430b53bf8b3ab5e5a,42b7f8846b2e05f3071a64f714e854c916d68ed7a04869e275263b65a2896806
YqRiaVczKiXxs7DvgU3XhDPN7fvYToz7Euin2RRU8Yujgp8zbzWet1Q5ZcmeTP263Ry8QRymcxa9S7ZEFUV9FEx,1970-01-01 07:00:00,1b74076e1c1ce0e583a152226fb50a5e8f007217ccf2e5ff3e3cad01e1a367a6,6a8ebd9d85ec042208085894ef213b996e8c6b60bcf7b5eb8943ebce85ad4d52
5TRqBpeaJmnY1aYv4wNLJDsNSmS4N1dcE6cPcDpxBB3kr5ivJBQtLzAdChW5FKLVdDpgZjSXLB6zk65HxMD7QKsp,1970-01-01 07:00:00,dedbcd1ff6fb9bd1d50e2c7f6015a809c8c5320da19f1aa9f3ed93bf763d0b46,e33ca9c74dd3144a79cd99c2e09a55765482c9952878c5c4bfc712c3e71307f7
3HMWbSU3dmYkA4fNzkVELR6rzGKCe9V7RuQwVDNnUzhQYj6ksgnunGLAs71BMcX7zfcU5bjdgr5AU64HTP6mnUDV,1970-01-01 07:00:00,72230186588dd4c3b77a57377f5b46f2906144cc4ad1ca590d2e658db5637bd0,a05ef4516296c8c7d52923df22f7b7b2c04bcb9adbce0ffdbee4dddb0716dffb
4qysYUxpdZTxUkXRVRJ7X9M8K2ed8f8B2HcWtWsSefzNjqDKhGL7bDAM8BsHmfREEtTHDLHn5AEK7i9TC92n4vPq,1970-01-01 07:00:00,c04a3a80fc51d78a92ce4310d9949ac96abbd4063cc5b2f328406cb344c298c1,3be22eace995224c8e47b9010b2b4f90a15a6cac7da30342cdd90b5f7bee6a20
gub98hWzYgHxwseZmX1a31w4f1yBgT8aPBRR1PgcM6Bq3BLawm2Zas5bGX9rN33p7VPkv1haJ6qVjWwccJ1mJbi,1970-01-01 07:00:00,2269fd73dc030f71e0b73154db1674f58eadbf4cdf9a8190d4cbf79efdd299b5,8f1893ad3a5638c5a6f05e8828bf84028126649355dbd4e3004301d9b22ae581
