signature_hash,block_time_utc,r_component_hex
24JDK5Y7GtJaE8cDwkqwWa56BS6LEZbyMqqJwoCdXCkBShn5yCv1jtFHJ2qTsrjKUAVN5pKXXY2idCd2fEpg3EX4,1970-01-01 07:00:00,34dc2915a23d76afab7324ced6ea29bebacf1d775741c19448f448ed9cf9c9f8
24tt6bP16c4AjVyBGp9uFEcnjMnZmMmbfu6zjfFj4PjAacPTsuUamc8YdUqw3BTEWu9Siu3CJaCEeVhc6VRpWsqd,1970-01-01 07:00:00,35601e9a1c82febe4c6b22b226b3edb73806636114311fafc738ca69685046bb
5Eh4cawzyi7WiYaH9LuL6gnYbwpsLKZzy2D2dLwHWdxsyyHnX8fsjjMT6nFcZoSFSYPDWkfpKuyPPt51xrnwufFj,1970-01-01 07:00:00,d3dfd5fb2ae236be4c6b9b0a50d30a5d32d6a50af596e6a2adaa0879da3b4884
WyuZpC9pt6zFHFSg5sRkMuAyER5KHTnBsSjvoju7uTRvqPaB8zMRbyspD64Lq8wwZN2XnXghfrFnqDUn2DUM9So,1970-01-01 07:00:00,19dac70e4dad4971339e67808143abaf7696530c2c93fa79dfb02ed3d1c9ec5c
5CPzrciRoY89eg2uEnUPPjE9dsUjtqvpCohxPBqq8EBpnp9W9W5JqGqwMqWE7CSJxJrBS4rqAyyD1xgmeYPYG6gs,1970-01-01 07:00:00,d1e55a5cffa29426af39370e5f678c9cfa38ffb4ce5fd8c1b442245dd0a45301
3N23TupQ3aNEaZniAsghWTN8takjmKxw88VPqemj7L1pnHB5Q4Pqqb5Dk7T47ADDjwEHaeyY9dSwRXkcTYCfNwEu,1970-01-01 07:00:00,7628bac00f0adf56b5b66e252707db4d2508d6f153b9432182cf6ef42ef9c990
2uJChKC6onkgWLRRSCAEoFnab1vM1e799C2pKSmKz3wxbnyy9Y7X1fvF6AnU1TH62iUHNNHpsUAKv4RLUx9qxgCs,1970-01-01 07:00:00,5f1d96e70dfb7528cd078ec2779023c4c93092fa252139f4f96207823a1c673c
474GknCdHtcwDQ9oyAZQE7ZL1irPDbvYaQqAFXfCLG2oMA5GrxMv23wJebF4trFfZBWR85kFtSjthV5vPJCFdayJ,1970-01-01 07:00:00,9b46187ba594bb4d735285d78dc84e097476d1980d06bcb6826750f8741eae8d
2UKWD1yX5Gmug7mEJB4J7BTSt1A6dEZbGwVEaHd3kYH4Wqa6Y4VNacgTwNcYj1zpzAWnuKVvR1LiidrNzDfPxoBP,1970-01-01 07:00:00,49936d8cf685cb6f486962b94c9b1fa508be3194e64672d355e9e0c1582d35c4
3XP5BNtzTqmD6iKz64xS2Bo4juM6Yktsi3JDx7xquRuK8sgffqtUeXi6tQAY2x4xESQNGRqT4uResBd5nnGqKXJ2,1970-01-01 07:00:00,7e3ba7fe105d6e87372cb818bc4e3e86059cbc2600695e69e8c932125f2a580f
