tx_hash,timestamp_utc,source_address,destination_address,amount,token_mint_address,transaction_type,timestamp_normalized,source_valid,dest_valid,is_outlier,hour,date,tx_hash_short
RX5HJKCbJZ84TYuBU7LLCfvXd5ot7jNHWywcFtkKpg7RRC1V76PTm6GxtpjHanwh6mwjAFhzf6tQhfV3tteNM9s,2025-07-23T07:31:29Z,2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,2PvbiHwbj6kcVwwwM6y6ApVij587LmZ5xmQReh9aGDtc,0.5828,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-23 07:31:29+00:00,True,True,True,7,2025-07-23,RX5HJKCb...
LQoDZHiGxpnYtAM7o3TfkikFFi4ucCAPK3n4SgfJT7xp2hbyGUHvD1XUz7PNN1f4Ew4JdW1K3D4e25fTnXVDYA7,2025-07-22T12:11:18Z,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,A5dWMfrZbs51UkfqdnQxiBf8kHr4ou6erVNM5ZapN4Uo,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-22 12:11:18+00:00,True,True,False,12,2025-07-22,LQoDZHiG...
2tXTheXghejV1yCrsvwNAVcyHrKc2aakD6KTJLTG6Rn52fLCPSetbp3YDmSjZPw9zeaGaHM5FPLxD6UTe1RXMbk9,2025-07-22T00:22:11Z,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,5FSe4ZXmzuxqyd7gNLYHMdhoPTUas5sJD48ejB1E8Wcb,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-22 00:22:11+00:00,True,True,False,0,2025-07-22,2tXTheXg...
3wUVmnZcmFExZrYkhGh5N3ZfA6zDLFHzMgVAPswgZRLkUwNNsuQcXt84J8Vj1PUL159CZmAKzhqQ9cHpfSRu2xae,2025-07-21T16:30:02Z,FLiPGqowc82LLR173hKiFYBq2fCxLZEST5iHbHwj8xKb,J5CWqJEskfmE8ozmm8jw6h8A7YopDmuLoC6TaNSpGS8M,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-21 16:30:02+00:00,True,True,False,16,2025-07-21,3wUVmnZc...
Nxq4NpC6iuvWZYJEWRjgs7S7MgdrerwXyWNoNHTgD8WNuwKaBeknFGpoGyryJajQTogr5icQPi4GxRd1xkQdDCb,2025-07-21T16:30:02Z,FLiPgGTXtBtEJoytikaywvWgbz5a56DdHKZU72HSYMFF,J5CWqJEskfmE8ozmm8jw6h8A7YopDmuLoC6TaNSpGS8M,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-21 16:30:02+00:00,True,True,False,16,2025-07-21,Nxq4NpC6...
2HLPBpYD4dQnWcUpP8qtmRbk28FjxMwFtHg2uHmewRhVPTsN3bbkqD2y61mKmv4oUzsfiazNZc23UbDR4Dw5Fkdd,2025-07-20T08:39:34Z,2PvbiHwbj6kcVwwwM6y6ApVij587LmZ5xmQReh9aGDtc,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,0.08991,So11111111111111111111111111111111111111112,TOKEN_TRANSFER,2025-07-20 08:39:34+00:00,True,True,False,8,2025-07-20,2HLPBpYD...
5Ccy7KXg3HDkeH9aCiAmEprfp3PNqA72pcJ85ExnfufbvS1asBiiQxasBqcrHj5kJ348tW6PTkkGcyey35yHesw4,2025-07-20T08:36:03Z,2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,2PvbiHwbj6kcVwwwM6y6ApVij587LmZ5xmQReh9aGDtc,0.09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-20 08:36:03+00:00,True,True,False,8,2025-07-20,5Ccy7KXg...
pDZYz2j1vp5GogQC1Koapx5Ah9FFj2dVjUbDF3s3mzEebhU1XQ3ZnoFidpyx8NfXZWGfP8XcxhPhfkPy1opXZmr,2025-07-20T08:33:11Z,FLiPGqowc82LLR173hKiFYBq2fCxLZEST5iHbHwj8xKb,3eFJjEGbfVXreJ7vqCagGgBQZZNJ4b4rPGNEWhYU9S3j,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-20 08:33:11+00:00,True,True,False,8,2025-07-20,pDZYz2j1...
4qYjSbcn5M7Jb5yh4fHtjMvByjVvqJGFtoAoLDsR7HsbtfT4hGWZcQa9C487X4NUaf51w6FAipRK9BRZ3qqXPp1Z,2025-07-20T08:33:11Z,FLiPgGTXtBtEJoytikaywvWgbz5a56DdHKZU72HSYMFF,3eFJjEGbfVXreJ7vqCagGgBQZZNJ4b4rPGNEWhYU9S3j,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-20 08:33:11+00:00,True,True,False,8,2025-07-20,4qYjSbcn...
WqjR5TAQecLJN7T33jsxiR7F89TP6G3tWHVg5STqYhUPU2rgaccvezo7sdpbiH7aYWUfxBarGx6G7Leh5kPhQKt,2025-07-20T08:33:06Z,2PvbiHwbj6kcVwwwM6y6ApVij587LmZ5xmQReh9aGDtc,FhVo3mqL8PW5pH5U2CN4XE33DokiyZnUwuGpH2hmHLuM,26.827605,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,TOKEN_TRANSFER,2025-07-20 08:33:06+00:00,True,True,True,8,2025-07-20,WqjR5TAQ...
