iteration_id,message_hash_hex,r_component_hex,signing_time_microseconds
33,232f95f90623c30f66461065ffcb5229000b021515fdbc90bb503cb5dd6547ad,c3bda5b55a017b200614c4ceb4bdb6d242b0ece51261fd9bb14f36085efb39b1,213.1000001099892
34,17f47ab5edb0895b70f645befa7f2621d37ee85d98c95fd870039f88e595c4a7,fc84ea8b726a7a3d84a6ab1bcce405777ce2bc83d80da2f19c4a0802781de8e9,215.19999427255243
35,fc5cfebbaef59cbd3fb39a1dd900329cfc1c81659cf5a2cff2c79ff05adfcd37,60312bf6060efca13b49523d97b1bb46c3c5c9215492bb76b22d98dbdc748bb7,215.80000611720607
36,6f38ead6aa940a8ae86b9f228e2717bf65d69e921db35b10d8cb771a0eec9700,a7e401d1f245c789cc99aa13d11a114e308d10f416a2792e19de6e924b7cbda3,244.9000021442771
37,f35cfcae1d00d91359c715397a913b52df0dc3d163b872ed712005d8e24f02a3,593aebcbb1d0345892a54a67c855ba5f8864c0651ccf6c37020436b049e18f68,212.99999934853986
38,03c7f777a8e722f05c98d107aed4f9f075192ab7446df3a963a4069b7e6ca5b2,e5dc7775150e92c3e58e239b225a156ac8193c7ed0993b73777fdcc25b14b331,212.90000586304814
39,a58bd03c7d320a3178bba93d91745d096da71a6b8f747a7a664464842c9f01ab,ca83fabc056a328920cf71e17689fe12c6514365ff3073bf8f9256f68cb7fe61,212.89999858709052
40,2769eb676cabb1e4481dca26ba0cd6c6ae197c03cbad85540647d327681abbf2,f0dc8547771cbe99820ff31f48207ec1adc89b35ba6b6f070823c5c0a8304908,251.89999723806977
41,3fe02c6b3175db2df4aa548f136b1083d443411f7433a8112cecd91f730226f1,c5fd39f84d60c601b8eacc5bb61a4de7f1d8c60540a98609fb546414e4fee419,229.199999012053
42,51c40af87f9aca798d4d705258ea86917f4392a82a83cc7cf2137f44bcf5199f,63f33a267323c90b78745de0876d5c4bd44bf4822aa9c591c3ae0f62588d42ee,214.70000501722097
