signature_hash,block_time_utc,r_component_hex
2mvQ5cyK8H7pQqx15GPL9B9xVs4ZbRU7eRHvWGV78fgJiMq48ePZZmxsXis5dGZ69YdCLaxjECRDEuJAS4cp4trz,1970-01-01 07:00:00,58c13ed7b79da1464e4862da497b4b2ce0fc685c4da9bf717335fa4121ee0352
kxTgyPLjsWk4U9sp1e9f23gmqRYSxYuTxnpUkNB5DCLbzr6doCeAo7XD6EQfKMx1s3XCcMEBKn5zqA3p9VYHABB,1970-01-01 07:00:00,25e7fa899fb9ac8a9f9b7ea49aabed912c82fe8b53a648e8792d161711bff858
52YsvUxjLb6XEm33VYbkfobi37pe7mNSEcPDEWUJJyTL8bEja83pybKGyY7T4wNG9zgFuAP6AEb9e78EHPGqd7Cu,1970-01-01 07:00:00,c96781fb41865d08f42369f606fe9509cc737a01885ba79d90f4289af1c05333
2N4m1hQWkZKq4wFzvkVZnTJCMP7xZn6wt8nFgsbzvFakziDHMXZFYLZyVrAqPReLXXQXrE2uQGXDCNHvALEjvCmw,1970-01-01 07:00:00,442eb793ca275fb16d66d52b6ef25f073670205a4598bad2165677aa3aacac92
5bnQmwfL689G5sZKCP4F7hvSUq8zJ3Srn9C3xWoTKyPMr836MmEWH21jfvm1AAm4u56zVZBCkQZbmcWwxVrGRH9Z,1970-01-01 07:00:00,e6103fad1bef47721c99a2f4be2d1cb21c60d03ff859a81ed272313e432d856f
5YjxBn8XbBo3LdsJ7d6hkSkmaSX965HXopDpmVkqmuBuyR8R9VV4uaRhdRCN4zwWKuobBzHR8DQczQ9tJWdmhL1R,1970-01-01 07:00:00,e37098e166c1f8f2b6f5141327313fbe6b2d6156ef876c0765e6856b68cc0f55
4XhQAWSXophqCk4rzGeSk8jQ1dxxjtezD2SYrtBaJyfXDnacpYSuPazqeJHS44nPw41rNiQgcNtGSKq3V9vLTtiy,1970-01-01 07:00:00,b085c452b5675191e358eb696975aa8fae0c44232dfa17a0583398131fa9498c
uzFxqEBQR2wmpqB7xTeGpP5uhyNen45VRkWAStWUMvpvyPmev2tf3sC7DaoPxcbyhkh3dCosRBXoNEFQSn2sjdr,1970-01-01 07:00:00,2db1b42d5bd2fde3555ff308d61eb222c64cc18604976289754bb8281ea42e97
5GSpurCrAV2M3n4CxWdEBRmEgAPkNR54VHmBuunvKLmE82ahRZjCmrJ2Gof7iyzhBm5pqWtczitQqH4V1e6d3Soh,1970-01-01 07:00:00,d5632d8fcf8a7df6ba0ab6c2d8920ecd98d0f7e0155f165b14969babbe5fbfb0
5jv2AUcciTV7KvLFhJwmm1QB5S1XatTxeJaRbvx7yVcBsdnjA6BH7W4w9o7QjtEeNtGzqakjx2RUYbArxA8rj9KL,1970-01-01 07:00:00,ed135525750200bb2e9c2367c5e02c518395800af227772ca0698b264d5bef1f
3CM89jPRZnmKYCLuhyDftLFgMQwDDmkK5qqgFhBqqNC7VZDJNxzjEbmN8tKXCmvX2DeQgS4JCR7jbt2jds14D3vg,1970-01-01 07:00:00,6dd1b5ae4f80467be57160d53a7c793a492ba0f0ec50deeac418346dd329b1a8
eEqxXmvqSgZEhg8cEySdMszkhks5XfrRbWai7KD98v8abLoZEu1tAsjzBvpVWfMcfQmZ4abm1GtYmn49hpoHYbv,1970-01-01 07:00:00,201cfce413d3d3eb6d6643465730e062dd4f09b63952ef5c9ce6d92a394c1eac
DCFqSEyaHvbnY7W6M9upuvzGJPL11Hh3dthMhFSQ6QnLn9Ss47yd3gjnDofCx29PKDrwkCDQioSe3o8juvv3F2P,1970-01-01 07:00:00,0a8404d7b70e9cb733a168dbf0c3a7fa3e518ea3085a7f781ccaef78ff161fba
kKMY7irzMQK5yjdLRYi5Uc4oFhdmCnw8ZCjBVJQtKgRopC1cwXUPxtyhfRukJ6veNRgPgQYmzjhktWDB9kKAf2A,1970-01-01 07:00:00,255abe03cf2e162842ee6fcd6bffa226a7fc72fda57ef29e963db2a0c92cc7cc
4h9KUY9sDL9CYHRdRUUX8EcGUBAUdbqjidv8Qb8MbRBETL3P5QVU2FhkevFWMnXnqM9qgAiVKU9iunvY4iMWFrNV,1970-01-01 07:00:00,b8ab4e060d404967d51611ad6c9bfa003d467f5c6f4bac2a0d15493137531315
2qeg5WwBS1SxVSFVotmWgSxR3vwrdAgN8TpCvAvPVTuM6S6mHeJoMhc5BxySsd1zPJDL1QnRkjcsncyf9RTnoKUf,1970-01-01 07:00:00,5bf874188e8d1873cc5be98e77a99c35ae44db3970271e0cf162bd6a8a01e786
44ZcGKH2JKvQShAmjHP4zEgQ1Cjxk9kEND17nrh8VBeVT1PLbhrGEmTQsTPnSfDVoq9xFYYZM2y2Gbm5nGLMvb89,1970-01-01 07:00:00,991f76d838c6f2cc2d96202c89b2b26989c90448e7359c64c1d6b5547977aa4e
Cs6e5RdXcNHnwuWuLcjTzBLDogDEoPQhgdbKpdjcsL12sd6RyycKA3wvtNMncNWfDy7ABt6iCt7Lwgcx25b1JKo,1970-01-01 07:00:00,0a3b189162d41461048f8e6d3838f30dfc601c3ee1631b3e2442d189bd4a2f63
4xv5LGD6ub2iaoNsR11DGdiRcn2owVpzFtAPzJ2XsFENu5X9bpf3p2ayj1zoDDef4dbV5z84UfNhoZ4sKJxsUW5N,1970-01-01 07:00:00,c645213d21dee8a9d47f8163e04019441812ed740e6c6f904518de9e00036819
26P4Gw54rSK5ZoHnNcKDPCjJXAS2Q3kJ5JkcJ51nQUdXNTo7HAwetjQAHnQufac3JZDHTvm5nZD4253mHjNNij8x,1970-01-01 07:00:00,36a820d3b855df3d30428774b82903c6c0a2e7b006675e1690b6b8195bbe35f4
379nqz1xhbq9WvoUeBo69gdDDME2iXytef7zm3wZtGuSuq4uj3P4YJY6wCnMecr8HqRnaNLG7P2kBxm22yvd1vb8,1970-01-01 07:00:00,6956c009912df0068233608202ec6f28a84ebb5f0abc0a2adea4a747a6de5145
2X1842Pi1i1XSYYpGpp6c9cUHx3w73aL59h2Nm1hixzoa2iVuneHuaNiJAz4wdpYMDE3omvgRd84LGazEwXDfZPT,1970-01-01 07:00:00,4be3c13eb331b113842ea141ffdab88aee4124fa640f116609b3a5a9a0ce217f
q1i2am3HY9SRGCDqbmtxieMvcAk1Mrjns4Sdh9EZCF5exCeVQFrdxYQ7C4SeecR8rnxyMUq6ApBFMAZ9uo6WpDR,1970-01-01 07:00:00,296765af1310ba8cbe1e9b8dfab2c13b2b1eef7fdd8f707503a0a355977a5d55
3E3o4psJ343gn8mTCG1xdSuvs5AvmGiXzEpL6WJVaQUaVmPo8KTuug7X9hh5AA2bfYvD9myQNhKaNDhNcQBMtqW1,1970-01-01 07:00:00,6f49479c4a7ab900499259ed0de1aa442780403eb8e66b4611c90f475ee6a430
4aTYEWznzG9rjmyi29bD1rVL4AsrdJk3Mu5XrTnPQkXGvaj9AeVf9ZEndi1dJ57GXrK2UfcJKzGnC8Uf3uKtErxq,1970-01-01 07:00:00,b2e74d6d58707fb0affb90fc61ea25971ae0ba85d8dc11874e7c38391f0b08be
3teymdsgnvCeSuFn24X4W4QKuDVBCvFz8thsNgx84dxQ3srDHzSg66TGxEX7GYK3GT6yjL51w8x64qaWjbyLU29i,1970-01-01 07:00:00,9094429a1b377f90840ca8f5075546e21ef2f5347a3cb545c8fa308591cac3c3
4V9HcR6n1iJ3F4oVZMyTvuAJ1XntPp7nTFKxziCicmbYQbjZ3NFU6j175PFjTs3voQTYkKxxrEtjaEpppkwci9da,1970-01-01 07:00:00,ae520199c3af5cf146eabe3e6bbf5a3590a190044a7af8baa974113cab983f00
3kLXLS3h77uwdFEPCz7Cc8uDdjkDw2BW33WhcSUtvhwK95c4BiUhVwBjYowrUJRVWdsyP3RHKkJgrVrqCdfuunEb,1970-01-01 07:00:00,8967e50dcf03c9d6cabdc530af98305f56022c549280cf7ecf4ad2a1c32ca159
4NPooBgTJeUxU2njTKsoQwQdWkn9Z7DZuYLUnKRdCwfC8SEzV4KbQsPUeB94YdXZAUKE9JwqEEX4CcVjghPCrQYm,1970-01-01 07:00:00,a87fec260cc7b220789040f45b6b5120c1e0639cbf23d65c86c06fc61294e396
FnMrwAMQvcP7c4rGSJyNF6VckEPZM6X1V4ZUvzM8aHQ4BPMhLxS4UgiVHDgKi3VmxouEPsVp92Wohoh4uGLbNCv,1970-01-01 07:00:00,0cbf5b85cfcbc28acee8aa30f2b3ca74e46139a05d1932e2ae244f2ae3f0b619
3A6eC52aGnubMoFuNvZiTZ9Ycn8X8JN3fJoYd1B5bsYbxQzWvawdKX5dB8jNNN5MU5fjRxPoYRmXfGLU3z6bnjxf,1970-01-01 07:00:00,6be10eb38ad8cd181a66b69464c3047af99eca699175599eba9765d423396b33
